销售部门,用户登录提示：系统发生了异常,"一、虚拟号段登录限制 系统已对以下虚拟号段实施登录限制，若您的手机号码属于以下号段，将无法正常登录：虚拟号段列表：167，1700-1709，171，178，191，147 二、账号风险评分超限 系统根据用户行为动态评分，若评分超过阈值（≥7分），将触发账号封禁。评分规则如下：下单行为非广东省影院：2天内连续下单2场电影，计7分；下单频率：2天内成功下单超过3场电影，计7分。卡券绑定绑定数量：用户绑定卡券数≥5，计2分；使用范围：卡券涉及单位≥2，计2分。账号关联多设备登录：单个微信号关联登录手机号＞2个，计7分；同IP登录：同一IP下登录手机号≥3个，计1分。解决方案建议虚拟号段用户：请更换为非限制号段手机号登录。评分超限用户：核对近期行为是否触发评分规则，避免高频操作；如需解封，请联系客服提供账号信息及行为说明。"
销售部门,用户绑卡提示：卡券系统繁忙,"用户在进行绑卡操作时，若系统提示“卡券系统繁忙”，可能是以下两种原因导致： 绑卡数量已达上限：当前销售单的最大绑卡数量为7张（举例），若用户尝试绑定第8张及以上卡券，系统将提示“卡券系统繁忙”。 公司维度限制：若用户已绑定第一家公司的卡券，在绑定第二家公司的卡券时，仅允许绑定1张，超出此限制也会触发提示。 解决方案：如需提高绑卡数量上限，可联系运营部申请调整配置。"
运营部门,商城首页banner尺寸？,351x160px
运营部门,生日慧banner尺寸？,375x400px
客服部,三张50的次卡为什么不能买两张69.9的票？,单价69.9两张票，抵扣完两个50元后，剩余两个19.9需要补差，剩下一个50次卡只能补一张票的19.9，不能补两个的
客服部,开通了两票三座，用户使用过一次两票三座后面用不了了？,两票三座一个销售单的卡只能使用一次
运营部,用户登录时显示：此账号在平台已绑定另一微信，请使用该微信登录,拿到用户微信昵称，在会员管理，操作-更多，进行解绑
客服部,用户选择商品下单，无法使用卡券支付,"1.卡券没有配该商品的品牌购买权限,2.卡券只配置了显示栏目，没有配置购买栏目"
客服部,用户反馈登录后看不到卡券,用户是专区卡，且绑定了商城0元卡，进去了主商城，可以在“我的页面”，点击切换商城切换到对应专区
运营部,进入秒杀专区页面，除了秒杀商品，下面还会出现 推荐商品 这种嘛,秒杀专区里只有秒杀商品
运营部,C端优惠券的兑换码是什么时候兑换都可以的嘛，有没有兑换期限,目前没有做时间限制
销售部,就是有个项目在无锡，然后我点击那个无锡定位，想看看核销得门店，但是门店地址全都是广州的,没有无锡的门店，默认显示的全部距离的门店
运营部,请问门店核销，是对卡券类型有限制吧，包含这个专区才支持使用吧？直接去店里选购商品，点击去支付，然后勾选卡券进行支付吗,对的，核销卡券支付只支持储值卡，且卡券需要有福乐兑的权限才有入口与支付权限
销售部,为什么自来水项目还能看到利口福？,隐藏利口福是配置了销售单单号的，用户所有绑定的可用卡都在此配置中即隐藏利口福。自来水公司的用户自动绑定了B端开放卡，但是B端开放卡没有配置。
运营部,智慧甄选热卖榜单这个栏目最多只能展示20个品吗，我这边上了有30个,智慧甄选热卖榜单最多只展示20个品
运营部,蛋糕叔叔商品导入异常是什么原因,品牌禁用后无法导入我们系统
采购部,奇那梦这几个单帮忙看一下对应到我们后台的t开头单号,这几个订单不是通过我们系统生成的，是在他们的管理系统直接购买卡券生成
采购部,这个订单工控那边说没收到退款申请,系统出错，晚些会手动通知
采购部,蔡总说我们跟鼎诚结算的是扣款金额，为什么和我们系统中的金额不一致,鼎诚的扣款金额对应我们系统中的成本价，数值是运营部手动填写的
采购部,下午好，我发现了一个问题，有发货的多个订单里没发货的单，查找待发货，显示不出来,这种情况需要查询部分发货订单
采购部,工控订单修改了快递单号，用户反应没有更新,已经通知过工控修改快递单号了，是他们没有更新
销售部,我客户用美团的时候 发现了这个bug，部分商品添加购物车出现异常,美团反馈套餐商品组件异常，已排期更新
销售部,"这个外卖美团上有的，但是在我们的端口上找不到水果是有外卖的，但是这家店是搜不到",美团反馈只能搜索属于餐饮中的果切的门店，属于水果的门店不能搜索
销售部,麻烦帮我查一下这个卡号：10210024115里面内部余额还剩多少钱，客户卡券丢了，需要补一张卡券。看看是电影储值卡还是中国通,是电影储值卡，客户还没绑定这张卡
运营部,这个景区订单。供应商出票失败已退款。没有给用户退款,微信商户号余额不足，无法退款
客服部,电影订单一直出票失败。,账户没有余额了。
客服部,客户电影下单就会出票失败。,您选择的座位已经被占，请更换座位后重新下单，建议选“自动换座”，我们将为您选最好的座位，如有疑问请联系客服。
客服部,电影搜索不到是没有排期，淘票票跟猫眼是有的。,电影供应商没有数据。
采购部,订单后台没显示物流情况，帮忙看看什么问题,物流接口没使用额度了。
销售部,"登录不了，返回非平台商家号码，请核实后再操作",这是核销用的登录入口。
销售部,选不了座位，选座系统繁忙，未能锁定座位,这个月已经在两个城市下单，这个月只能在这个这些城市下单
销售部,电影无法下单，当前购票人数过多，换个时间再来吧~,这个用户，2月份，总订单数是6单，已经达到限制了
运营部,导入门店，这个地址我在百度地图上搜得到，为什么会报错：地址信息不正确，请重新输入,今天百度API账户的使用额度已用完

